"ID","NAME","POSITION1","POSITION2","PLAYER_TYPE","BID_VALUE","BID_YEARS","HAS_TO","BID_START_DATE","BID_WINNER","NBA_ID"
"183","George Hill","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"201588"
"184","Georges Niang","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1627777"
"185","Giannis Antetokounmpo","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"203507"
"186","Goga Bitadze","C","F","UFA",NULL,NULL,NULL,NULL,NULL,"1629048"
"187","Goran Dragic","G",NULL,"SIGNED",NULL,NULL,NULL,NULL,NULL,"201609"
"188","Gordon Hayward","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"202330"
"189","Gorgui Dieng","C",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"203476"
"190","Grant Williams","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1629684"
"191","Grayson Allen","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1628960"
"192","Greg Brown III","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630535"
"193","Greg Monroe","F","C","UFA",NULL,NULL,NULL,NULL,NULL,"202328"
"194","Gui Santos","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630611"
"195","Hamidou Diallo","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1628977"
"196","Harrison Barnes","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"203084"
"197","Hassan Whiteside","C",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"202355"
"198","Haywood Highsmith","F",NULL,"SIGNED",NULL,NULL,NULL,NULL,NULL,"1629312"
"199","Herbert Jones","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630529"
"200","Hugo Besson","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630656"
"201","Ignas Brazdeikis","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1629649"
"202","Immanuel Quickley","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630193"
"203","Isaac Bonga","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1629067"
"204","Isaac Okoro","F","G","UFA",NULL,NULL,NULL,NULL,NULL,"1630171"
"205","Isaiah Hartenstein","C","F","UFA",NULL,NULL,NULL,NULL,NULL,"1628392"
"206","Isaiah Jackson","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630543"
"207","Isaiah Joe","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630198"
"208","Isaiah Livers","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630587"
"209","Isaiah Mobley","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630600"
"210","Isaiah Roby","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1629676"
"211","Isaiah Stewart","F","C","UFA",NULL,NULL,NULL,NULL,NULL,"1630191"
"212","Isaiah Thomas","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"202738"
"213","Isaiah Todd","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630225"
"214","Ish Smith","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"202397"
"215","Ish Wainright","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630688"
"216","Ismael Kamagate","C",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1631130"
"217","Ivica Zubac","C",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1627826"
"218","JD Davison","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1631120"
"219","JT Thor","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630550"
"220","Ja Morant","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1629630"
"221","JaMychal Green","F","C","UFA",NULL,NULL,NULL,NULL,NULL,"203210"
"222","JaVale McGee","C","F","UFA",NULL,NULL,NULL,NULL,NULL,"201580"
"223","Jabari Smith II","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1631095"
"224","Jabari Walker","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1631133"
"225","Jaden Hardy","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630702"
"226","Jaden Ivey","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1631093"
"227","Jaden McDaniels","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630183"
"228","Jaden Springer","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630531"
"229","Jae Crowder","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"203109"
"230","Jae'Sean Tate","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630256"
"231","Jake LaRavia","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1631222"
"232","Jake Layman","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1627774"
"233","Jakob Poeltl","C",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1627751"
"234","Jalen Brunson","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1628973"
"235","Jalen Duren","C",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1631105"
"236","Jalen Green","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630224"
"237","Jalen Johnson","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630552"
"238","Jalen McDaniels","F","C","UFA",NULL,NULL,NULL,NULL,NULL,"1629667"
"239","Jalen Smith","F","C","UFA",NULL,NULL,NULL,NULL,NULL,"1630188"
"240","Jalen Suggs","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630591"
"241","Jalen Williams","G","F","UFA",NULL,NULL,NULL,NULL,NULL,"1631114"
"242","Jamal Murray","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1627750"
"243","James Bouknight","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630547"
"244","James Harden","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"201935"
"245","James Wiseman","C",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630164"
"246","Jamorko Pickett","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630691"
"247","Jared Butler","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630215"
"248","Jared Harper","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1629607"
"249","Jaren Jackson Jr.","F","C","UFA",NULL,NULL,NULL,NULL,NULL,"1628991"
"250","Jarred Vanderbilt","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1629020"
"251","Jarrett Allen","C",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1628386"
"252","Jarrett Culver","G","F","UFA",NULL,NULL,NULL,NULL,NULL,"1629633"
"253","Jason Preston","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630554"
"254","Javonte Green","G","F","UFA",NULL,NULL,NULL,NULL,NULL,"1629750"
"255","Javonte Smart","G",NULL,"SIGNED",NULL,NULL,NULL,NULL,NULL,"1630606"
"256","Jaxson Hayes","C","F","UFA",NULL,NULL,NULL,NULL,NULL,"1629637"
"257","Jay Scrubb","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630206"
"258","Jaylen Brown","G","F","UFA",NULL,NULL,NULL,NULL,NULL,"1627759"
"259","Jaylen Nowell","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1629669"
"260","Jaylin Williams","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1631119"
"261","Jayson Tatum","F","G","UFA",NULL,NULL,NULL,NULL,NULL,"1628369"
"262","Jeff Green","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"201145"
"263","Jerami Grant","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"203924"
"264","Jeremiah Robinson-Earl","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630526"
"265","Jeremy Lamb","G","F","UFA",NULL,NULL,NULL,NULL,NULL,"203087"
"266","Jeremy Sochan","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1631110"
"267","Jericho Sims","C",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630579"
"268","Jevon Carter","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1628975"
"269","Jimmy Butler","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"202710"
"270","Jock Landale","C",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1629111"
"271","Joe Harris","G","F","UFA",NULL,NULL,NULL,NULL,NULL,"203925"
"272","Joe Ingles","F","G","UFA",NULL,NULL,NULL,NULL,NULL,"204060"
"273","Joe Wieskamp","G","F","UFA",NULL,NULL,NULL,NULL,NULL,"1630580"
"274","Joel Embiid","C","F","UFA",NULL,NULL,NULL,NULL,NULL,"203954"
"275","John Collins","F","C","UFA",NULL,NULL,NULL,NULL,NULL,"1628381"
"276","John Konchar","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1629723"
"277","Johnny Davis","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1631098"
"278","Jonas Valanciunas","C",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"202685"
"279","Jonathan Isaac","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1628371"
"280","Jonathan Kuminga","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630228"
"281","Jordan Clarkson","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"203903"
